
 For  Li(  6) - Li(  6)
 ----------------------
   v       E            Bv           -Dv             Hv             Lv            Mv             Nv             Ov
 ====================================================================================================================
   0 -15202.6828  0.3103975711 -2.7414497D-05 -1.7545995D-09 -4.1173237D-13 -1.1676333D-16 -4.2017925D-20 -1.6997526D-23
   1 -15139.9702  0.2867335207 -2.8726948D-05 -2.2382076D-09 -6.7059849D-13 -2.5264184D-16 -1.1302460D-19 -5.5140084D-23
   2 -15084.8497  0.2630951411 -3.0562751D-05 -3.1601995D-09 -1.2060404D-12 -5.6835561D-16 -3.0845602D-19 -1.8242396D-22
   3 -15037.1138  0.2390412015 -3.3320651D-05 -4.8396491D-09 -2.3240337D-12 -1.3639611D-15 -9.1597710D-19 -6.7165013D-22
   4 -14996.6865  0.2140185598 -3.7590570D-05 -7.9545769D-09 -4.8579364D-12 -3.6437073D-15 -3.1318115D-18 -2.9471612D-21
   5 -14963.5937  0.1873256219 -4.4391650D-05 -1.4126301D-08 -1.1383175D-11 -1.1432511D-14 -1.3236815D-17 -1.6867813D-20
   6 -14937.9211  0.1580510815 -5.5683987D-05 -2.7756556D-08 -3.1565172D-11 -4.5816622D-14 -7.7574791D-17 -1.4575365D-19
   7 -14919.7237  0.1250691370 -7.5563206D-05 -6.3301054D-08 -1.1477746D-10 -2.7584726D-13 -7.8683266D-16 -2.5133877D-18
   8 -14908.7911  0.0874345349 -1.1373846D-04 -1.8939579D-07 -7.1097372D-10 -3.7067532D-12 -2.3225047D-14 -1.6363928D-16
   9 -14904.1153  0.0458827670 -2.1029889D-04 -1.2566516D-06 -1.8987831D-08 -4.0012421D-10 -1.0043687D-11 -2.8129723D-13

 For  Li(  7) - Li(  7)
 ----------------------
   v       E            Bv           -Dv             Hv             Lv            Mv             Nv             Ov
 ====================================================================================================================
   0 -15205.1452  0.2668680039 -2.0117067D-05 -1.0969499D-09 -2.1872057D-13 -5.2484479D-17 -1.6013441D-20 -5.5018855D-24
   1 -15146.5480  0.2480733185 -2.0991343D-05 -1.3643917D-09 -3.4065729D-13 -1.0696055D-16 -4.0102870D-20 -1.6407287D-23
   2 -15094.4857  0.2293288611 -2.2171097D-05 -1.8544768D-09 -5.8061620D-13 -2.2518945D-16 -1.0086087D-19 -4.9194748D-23
   3 -15048.7770  0.2103451802 -2.3878007D-05 -2.7101460D-09 -1.0505078D-12 -4.9796734D-16 -2.7014664D-19 -1.5987569D-22
   4 -15009.3409  0.1907644879 -2.6420682D-05 -4.2110932D-09 -2.0275551D-12 -1.1948502D-15 -8.0569899D-19 -5.9385702D-22
   5 -14976.1774  0.1701440208 -3.0294176D-05 -6.9659026D-09 -4.2671831D-12 -3.2332715D-15 -2.8138326D-18 -2.6866370D-21
   6 -14949.3431  0.1479218107 -3.6378228D-05 -1.2435891D-08 -1.0144008D-11 -1.0417085D-14 -1.2386387D-17 -1.6259311D-20
   7 -14928.9083  0.1233877695 -4.6356786D-05 -2.4626101D-08 -2.8874098D-11 -4.3790627D-14 -7.7935810D-17 -1.5439774D-19
   8 -14914.8551  0.0957583833 -6.3693382D-05 -5.7117769D-08 -1.1079897D-10 -2.8938180D-13 -9.0117135D-16 -3.1468573D-18
   9 -14906.8337  0.0646654284 -9.6909779D-05 -1.8143202D-07 -7.8870400D-10 -4.7932133D-12 -3.4979973D-14 -2.8686696D-16
  10 -14903.7141  0.0312773566 -1.9062575D-04 -1.5817905D-06 -3.3383545D-08 -9.7366442D-10 -3.3638902D-11 -1.2910141D-12

 For  Li(  6) - Li(  6)
 ----------------------
   v       E            Bv           -Dv             Hv             Lv            Mv             Nv             Ov
 ====================================================================================================================
